fund_name,tvpi_reported,tvpi_calc,total_contributed,total_value
"TPG Growth III, L.P.",1.8,1.8209,318711042,580343057
"HIPEP VI-Asia Pacific Fund, L.P.",1.9,1.8796,47500000,89281885
"Permira VI, L.P.",2.1,2.0801,325063397,676165889
"KKR North America Fund XI, L.P. - Second Commitment",2.1,2.0803,288099308,599327867
"Nordic Capital Fund IX, L.P.",2.1,2.0804,264936384,551174444
"Apax X, L.P.",1.5,1.5192,52745000,80130946
"BC European Capital IX, L.P.",2.1,2.0818,258790219,538743960
"TA XIII, L.P.",1.4,1.3819,286549626,395985034
"Fisher Lynch Co-Investment Partnership III, L.P.",1.9,1.8820,711358332,1338796230
"KSL Capital Partners III, L.P.",1.3,1.2823,219052036,280896032
"PAG Asia III, L.P.",1.1,1.1177,118609573,132564667
"Menlo Ventures XI, L.P.",4.3,4.2824,100000000,428238936
"KKR European Fund V, L.P. - USD",1.2,1.2172,180773287,220040505
"TA XI, L.P.",3.5,3.5171,157747140,554811727
"Vestar Capital Partners VII, L.P.",1.3,1.3171,91454290,120455876
"KKR Asian Fund II, L.P.",1.4,1.4168,484438500,686333877
"Southern Cross Latin America Private Equity Fund IV, L.P.",0.2,0.2166,75297539,16313141
"TSSP Capital Solutions",1.5,1.5162,82475994,125052715
"KKR Asian Fund III, L.P.",1.7,1.6842,382702024,644533461
"Rhone Partners V, L.P.",1.7,1.6843,176890783,297945976
"Wellspring Capital Partners VI, L.P.",1.4,1.3844,131508866,182067327
"Menlo Ventures XIV, L.P.",2.1,2.0845,95000000,198025626
"Warburg Pincus China-Southeast Asia II, L.P.",1.5,1.4848,52200000,77506425
"KKR E2 Investors, L.P.",0.9,0.9147,41266032,37745153
"Affinity Asia Pacific Fund IV, L.P.",1.5,1.5143,305447065,462541236
"Warburg Pincus Private Equity XI, L.P.",1.8,1.7866,763227511,1363602162
"Roark Capital Partners III, L.P.",2.6,2.6134,125166200,327103659
"Madison Dearborn Capital Partners VIII, L.P.",1.4,1.4133,55833623,78910751
"Providence Equity Partners VIII, L.P.",1.2,1.1871,259335584,307868718
"Warburg Pincus Global Growth, L.P.",1.2,1.2128,507750000,615824382
"DCPF VI Oil and Gas Coinvestment Fund LP",1.6,1.6123,84875756,136843514
"Warburg Pincus Private Equity XII, L.P.",1.9,1.8879,691007139,1304564845
"Endeavour Capital Fund VII, L.P.",1.9,1.8879,105520303,199206705
"Riverside Capital Appreciation Fund VI, L.P.",1.5,1.4882,155845391,231928656
"Silver Lake III SL SPV-2, L.P.",1.4,1.4117,63637662,89837561
"GTCR Fund XI, L.P.",4.2,4.1885,336226646,1408292531
"Advent Latin American Private Equity Fund V, L.P.",1.2,1.1888,96200000,114365541
"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.",4,4.0099,48009467,192513653
"Evergreen Park Investment Fund, L.P.",1,0.9907,37323000,36976317
"HIPEP VI-Emerging Markets Fund, L.P.",1.5,1.4909,50000000,74543981
"Luminate Capital Partners III, L.P.",0.8,0.8088,18487645,14953061
"Endeavour Capital Fund VI, L.P.",1.9,1.9082,92769883,177022277
"Oaktree Opportunities Fund Xb, L.P.",1.3,1.2919,240000000,310066721
"Thoma Bravo Discover Fund III, L.P.",1,1.0079,33920682,34189229
"Towerbrook Investors IV, L.P.",2.1,2.1078,158882573,334886865
"KKR Americas Fund XII, L.P.",2.1,2.1077,571911755,1205394208
"Vestar Capital Partners VI, L.P.",1.8,1.7924,189127827,338997601
"GI Partners Fund V, L.P.",1.4,1.3927,265356654,369552272
"PAI Europe VII",1.3,1.3061,77956365,101821307
"Warburg Pincus Financial Sector, L.P.",1.5,1.4941,181222509,270771369
